No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,9143,1.15,66,293,3.84
2,have,12271,1.54,39,305,2.66
3,which,27520,3.46,47,309,1.76
4,from,20985,2.64,35,309,1.73
5,are,19630,2.47,29,304,1.55
6,that,28785,3.62,42,306,1.54
7,to,64721,8.14,61,310,0.91
8,the,308307,38.78,258,312,0.73
9,to,64721,8.14,45,310,0.47
10,in,79832,10.04,50,312,0.32
11,of,194745,24.50,111,312,0.18
12,and,82391,10.36,36,312,-0.20
13,and,82391,10.36,34,312,-0.29
14,the,308307,38.78,127,312,-0.29
15,of,194745,24.50,75,312,-0.39
