No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,ascertained,202,0.03,6,65,5.88
2,new,579,0.07,6,117,4.36
3,number,639,0.08,6,118,4.22
4,these,3191,0.40,23,187,3.84
5,some,2277,0.29,15,203,3.71
6,have,5256,0.66,17,208,2.68
7,other,2918,0.37,8,201,2.45
8,we,2697,0.34,6,174,2.14
9,are,5916,0.74,13,203,2.13
10,which,12365,1.56,27,222,2.12
11,i,9193,1.16,15,218,1.70
12,been,3702,0.47,6,202,1.69
13,that,13518,1.70,16,220,1.23
14,with,8605,1.08,10,216,1.21
15,this,8852,1.11,10,215,1.17
16,it,13863,1.74,13,221,0.90
17,to,29261,3.68,27,233,0.87
18,from,9116,1.15,8,222,0.80
19,in,26392,3.32,23,233,0.79
20,of,66137,8.32,54,240,0.70
21,to,29261,3.68,23,233,0.64
22,the,110208,13.87,69,240,0.31
23,and,30253,3.81,18,237,0.24
24,a,25274,3.18,14,236,0.14
25,be,12773,1.61,7,222,0.12
26,by,12164,1.53,6,228,-0.03
27,the,110208,13.87,44,240,-0.33
28,of,66137,8.32,26,240,-0.36
29,and,30253,3.81,11,237,-0.47
