No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,following,1706,0.17,16,198,4.51
2,these,8745,0.90,67,204,4.22
3,may,7432,0.76,20,203,2.71
4,have,10587,1.09,17,204,1.97
5,that,30044,3.08,46,205,1.90
6,are,22796,2.34,34,204,1.86
7,which,20563,2.11,27,204,1.68
8,from,20304,2.08,23,205,1.47
9,be,24831,2.55,26,205,1.35
10,to,62715,6.43,56,205,1.12
11,with,20748,2.13,16,204,0.91
12,the,304511,31.23,217,205,0.80
13,it,22521,2.31,16,205,0.79
14,by,25654,2.63,18,205,0.77
15,to,62715,6.43,37,205,0.52
16,as,25562,2.62,15,205,0.52
17,of,164794,16.90,84,205,0.31
18,in,84173,8.63,41,205,0.25
19,the,304511,31.23,111,205,-0.17
20,a,70647,7.24,23,205,-0.33
21,in,84173,8.63,22,205,-0.65
22,of,164794,16.90,43,205,-0.65
23,and,75092,7.70,17,205,-0.86
24,and,75092,7.70,16,205,-0.94
