https://example.com/collocation-analysis
There are 4115335 different words in your collocation database for "fact". (Your query returned 9026 matches in 290 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	matter	898	0.47	71	179	5.25
2	owing	910	0.47	43	208	4.51
3	that	39090	20.24	1251	286	3.95
4	due	3064	1.59	98	265	3.95
5	this	25132	13.01	196	286	1.91
6	they	6322	3.27	45	279	1.78
7	in	104698	54.21	681	290	1.65
8	has	9009	4.67	46	285	1.30
9	by	35654	18.46	177	287	1.26
10	is	61027	31.60	273	288	1.11
11	from	24442	12.66	106	288	1.07
12	to	81080	41.98	323	289	0.94
13	we	17500	9.06	69	279	0.93
14	the	390379	202.15	1478	288	0.87
15	it	28267	14.64	102	286	0.80
16	is	61027	31.60	220	288	0.80
17	as	32355	16.75	116	288	0.79
18	which	28109	14.56	92	287	0.66
19	it	28267	14.64	89	286	0.60
20	are	26790	13.87	84	286	0.60
21	have	14226	7.37	43	285	0.55
22	not	15565	8.06	44	286	0.45
23	be	31942	16.54	90	289	0.44
24	the	390379	202.15	1010	288	0.32
25	for	26534	13.74	60	287	0.13
26	a	97771	50.63	218	290	0.11
27	this	25132	13.01	55	286	0.08
28	in	104698	54.21	214	290	-0.02
29	with	28617	14.82	57	288	-0.06
30	be	31942	16.54	63	289	-0.07
31	are	26790	13.87	52	286	-0.09
32	was	26122	13.53	50	283	-0.11
33	and	98512	51.01	178	290	-0.20
34	to	81080	41.98	145	289	-0.21
35	as	32355	16.75	57	288	-0.23
36	a	97771	50.63	169	290	-0.26
37	at	25861	13.39	44	288	-0.28
38	with	28617	14.82	48	288	-0.30
39	of	217885	112.83	347	290	-0.38
40	by	35654	18.46	56	287	-0.40
41	for	26534	13.74	41	287	-0.42
42	on	29856	15.46	46	290	-0.43
43	of	217885	112.83	328	290	-0.46
44	and	98512	51.01	51	290	-2.00
