https://example.com/collocation-analysis
There are 3256112 different words in your collocation database for "fact". (Your query returned 6081 matches in 266 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	due	1867	0.89	57	176	4.00
2	that	30213	14.37	761	256	3.73
3	this	21944	10.44	171	263	2.03
4	in	80163	38.14	512	266	1.75
5	from	19106	9.09	96	263	1.40
6	by	26673	12.69	131	264	1.37
7	is	52934	25.18	216	264	1.10
8	to	65067	30.95	211	265	0.77
9	not	10768	5.12	34	253	0.73
10	it	23185	11.03	73	261	0.73
11	is	52934	25.18	162	264	0.69
12	the	326899	155.51	987	266	0.67
13	we	13379	6.36	40	210	0.65
14	have	12058	5.74	32	253	0.48
15	it	23185	11.03	58	261	0.39
16	which	23647	11.25	59	264	0.39
17	be	24536	11.67	60	261	0.36
18	in	80163	38.14	176	266	0.21
19	a	66296	31.54	145	264	0.20
20	was	18297	8.70	40	255	0.20
21	was	18297	8.70	39	255	0.16
22	this	21944	10.44	46	263	0.14
23	for	15460	7.35	32	249	0.12
24	are	23236	11.05	48	261	0.12
25	are	23236	11.05	48	261	0.12
26	as	27875	13.26	57	262	0.10
27	the	326899	155.51	659	266	0.08
28	as	27875	13.26	52	262	-0.03
29	by	26673	12.69	49	264	-0.05
30	be	24536	11.67	45	261	-0.05
31	a	66296	31.54	117	264	-0.11
32	to	65067	30.95	110	265	-0.17
33	with	25109	11.94	42	260	-0.19
34	of	177619	84.50	297	266	-0.19
35	with	25109	11.94	40	260	-0.26
36	and	85478	40.66	124	265	-0.39
37	which	23647	11.25	34	264	-0.40
38	of	177619	84.50	182	266	-0.89
39	and	85478	40.66	39	265	-2.06
