https://example.com/collocation-analysis
There are 1629077 different words in your collocation database for "fact". (Your query returned 2259 matches in 223 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	that	16182	6.00	191	207	2.99
2	this	10118	3.75	96	208	2.68
3	in	42725	15.84	215	223	1.76
4	is	18911	7.01	79	222	1.49
5	when	4615	1.71	16	193	1.23
6	not	6413	2.38	22	207	1.21
7	not	6413	2.38	21	207	1.14
8	but	5899	2.19	16	204	0.87
9	is	18911	7.01	51	222	0.86
10	it	14748	5.47	39	213	0.83
11	from	11155	4.14	29	209	0.81
12	be	13436	4.98	34	218	0.77
13	i	9232	3.42	23	208	0.75
14	a	30810	11.42	74	222	0.70
15	which	15850	5.88	33	214	0.49
16	to	36058	13.37	73	222	0.45
17	as	13918	5.16	28	219	0.44
18	by	18108	6.71	36	222	0.42
19	be	13436	4.98	26	218	0.38
20	to	36058	13.37	69	222	0.37
21	was	9557	3.54	18	206	0.34
22	the	161095	59.73	299	223	0.32
23	it	14748	5.47	27	213	0.30
24	by	18108	6.71	33	222	0.30
25	i	9232	3.42	16	208	0.22
26	at	10799	4.00	18	218	0.17
27	this	10118	3.75	16	208	0.09
28	a	30810	11.42	48	222	0.07
29	in	42725	15.84	66	223	0.06
30	with	12868	4.77	19	220	-0.01
31	that	16182	6.00	23	207	-0.06
32	of	94151	34.91	131	223	-0.09
33	and	40756	15.11	56	223	-0.11
34	the	161095	59.73	221	223	-0.11
35	as	13918	5.16	19	219	-0.12
36	of	94151	34.91	78	223	-0.84
