No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,remarkable,669,0.31,19,161,3.93
2,that,25798,11.98,310,284,2.69
3,this,15615,7.25,176,282,2.60
4,in,71257,33.08,580,288,2.13
5,is,35457,16.46,183,284,1.47
6,being,5796,2.69,29,271,1.43
7,has,5327,2.47,24,269,1.28
8,no,6129,2.85,25,269,1.14
9,is,35457,16.46,144,284,1.13
10,if,5785,2.69,23,263,1.10
11,being,5796,2.69,20,271,0.89
12,we,8777,4.08,30,240,0.88
13,been,6555,3.04,22,271,0.85
14,not,9981,4.63,31,282,0.74
15,from,18704,8.68,58,285,0.74
16,which,25476,11.83,75,284,0.66
17,it,23115,10.73,67,283,0.64
18,by,25680,11.92,74,288,0.63
19,i,12207,5.67,35,274,0.63
20,these,8292,3.85,23,272,0.58
21,but,9580,4.45,26,281,0.55
22,when,7123,3.31,19,266,0.52
23,may,7729,3.59,20,274,0.48
24,by,25680,11.92,64,288,0.42
25,was,14101,6.55,35,267,0.42
26,it,23115,10.73,56,283,0.38
27,the,275326,127.83,648,289,0.34
28,have,10810,5.02,24,280,0.26
29,a,54588,25.35,117,285,0.21
30,an,9848,4.57,21,277,0.20
31,have,10810,5.02,23,280,0.20
32,of,169492,78.69,358,289,0.19
33,an,9848,4.57,20,277,0.13
34,was,14101,6.55,28,267,0.10
35,to,58936,27.36,117,287,0.10
36,to,58936,27.36,115,287,0.07
37,the,275326,127.83,536,289,0.07
38,for,13800,6.41,26,288,0.02
39,are,16185,7.51,30,282,-0.00
40,in,71257,33.08,131,288,-0.01
41,be,24311,11.29,44,284,-0.04
42,a,54588,25.35,98,285,-0.05
43,that,25798,11.98,46,284,-0.06
44,this,15615,7.25,27,282,-0.10
45,with,20869,9.69,36,286,-0.11
46,and,70715,32.83,121,289,-0.12
47,be,24311,11.29,41,284,-0.14
48,at,19189,8.91,32,285,-0.16
49,as,22909,10.64,38,283,-0.16
50,as,22909,10.64,37,283,-0.20
51,which,25476,11.83,40,284,-0.24
52,are,16185,7.51,23,282,-0.39
53,with,20869,9.69,29,286,-0.42
54,of,169492,78.69,171,289,-0.88
55,and,70715,32.83,48,289,-1.45
