No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,155,0.04,11,68,6.12
2,that,15126,3.87,90,288,2.54
3,this,9574,2.45,48,286,2.29
4,if,3142,0.80,14,242,2.12
5,in,36831,9.43,139,311,1.88
6,is,17469,4.47,64,302,1.84
7,is,17469,4.47,52,302,1.54
8,but,5745,1.47,17,282,1.53
9,which,13905,3.56,37,287,1.38
10,it,14330,3.67,36,287,1.29
11,not,6277,1.61,13,278,1.02
12,an,5569,1.43,11,289,0.95
13,a,32071,8.21,61,309,0.89
14,to,35556,9.10,59,309,0.70
15,by,15482,3.96,24,308,0.60
16,was,9783,2.50,15,268,0.58
17,be,14071,3.60,21,292,0.54
18,are,7496,1.92,11,294,0.52
19,as,11660,2.98,17,294,0.51
20,by,15482,3.96,21,308,0.41
21,the,152723,39.09,205,311,0.39
22,in,36831,9.43,48,311,0.35
23,from,10880,2.78,14,297,0.33
24,i,10129,2.59,13,289,0.33
25,this,9574,2.45,12,286,0.29
26,from,10880,2.78,13,297,0.22
27,that,15126,3.87,18,288,0.22
28,a,32071,8.21,35,309,0.09
29,which,13905,3.56,14,287,-0.02
30,of,89241,22.84,89,311,-0.04
31,be,14071,3.60,14,292,-0.04
32,with,11741,3.01,11,304,-0.13
33,the,152723,39.09,143,311,-0.13
34,to,35556,9.10,27,309,-0.43
35,of,89241,22.84,60,311,-0.61
36,and,41047,10.51,26,310,-0.69
37,and,41047,10.51,19,310,-1.15
