No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,matter,746,0.38,58,145,5.26
2,owing,784,0.40,37,178,4.54
3,due,2667,1.35,89,223,4.04
4,that,33518,16.98,1071,243,3.98
5,this,21234,10.76,157,243,1.87
6,they,5478,2.78,38,236,1.78
7,in,90338,45.76,567,247,1.63
8,also,5075,2.57,30,241,1.54
9,has,7801,3.95,42,242,1.41
10,by,30382,15.39,155,244,1.33
11,all,6419,3.25,31,242,1.25
12,there,6132,3.11,29,241,1.22
13,is,52746,26.72,238,245,1.15
14,from,21025,10.65,91,245,1.09
15,to,69282,35.10,275,246,0.97
16,the,336955,170.70,1261,245,0.89
17,if,6715,3.40,25,242,0.88
18,when,8090,4.10,29,238,0.82
19,it,24303,12.31,87,243,0.82
20,as,27742,14.05,99,245,0.82
21,is,52746,26.72,182,245,0.77
22,no,7266,3.68,25,243,0.76
23,we,14415,7.30,49,237,0.75
24,it,24303,12.31,79,243,0.68
25,have,12068,6.11,37,242,0.60
26,which,24082,12.20,72,244,0.56
27,are,23269,11.79,69,243,0.55
28,be,27068,13.71,79,246,0.53
29,the,336955,170.70,876,245,0.36
30,for,22831,11.57,57,244,0.30
31,not,13337,6.76,33,243,0.29
32,were,10918,5.53,27,238,0.29
33,an,11105,5.63,25,244,0.15
34,this,21234,10.76,47,243,0.13
35,a,84375,42.74,185,247,0.11
36,but,11450,5.80,25,242,0.11
37,be,27068,13.71,56,246,0.03
38,in,90338,45.76,179,247,-0.03
39,with,24461,12.39,48,245,-0.05
40,was,22632,11.47,41,240,-0.16
41,to,69282,35.10,123,246,-0.19
42,are,23269,11.79,41,243,-0.20
43,we,14415,7.30,25,237,-0.22
44,as,27742,14.05,48,245,-0.23
45,with,24461,12.39,42,245,-0.24
46,and,85678,43.40,145,247,-0.26
47,a,84375,42.74,140,247,-0.29
48,at,22380,11.34,37,245,-0.29
49,was,22632,11.47,36,240,-0.35
50,on,25788,13.06,41,247,-0.35
51,of,186712,94.59,287,247,-0.40
52,of,186712,94.59,287,247,-0.40
53,for,22831,11.57,35,244,-0.40
54,by,30382,15.39,44,244,-0.48
55,from,21025,10.65,25,245,-0.77
56,and,85678,43.40,46,247,-1.92
