No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,98,0.02,7,53,6.32
2,ascertained,259,0.06,7,96,4.91
3,this,7323,1.64,47,246,2.84
4,that,11804,2.65,39,242,1.88
5,in,24302,5.45,77,258,1.82
6,i,7468,1.67,21,247,1.65
7,we,3106,0.70,7,164,1.33
8,be,10672,2.39,23,249,1.26
9,is,13487,3.02,28,250,1.21
10,not,4582,1.03,8,234,0.96
11,which,10831,2.43,18,244,0.89
12,by,11283,2.53,18,255,0.83
13,is,13487,3.02,20,250,0.73
14,a,22107,4.96,29,260,0.55
15,was,7882,1.77,10,236,0.50
16,which,10831,2.43,13,244,0.42
17,that,11804,2.65,14,242,0.40
18,to,24038,5.39,28,257,0.38
19,with,7789,1.75,9,244,0.37
20,was,7882,1.77,9,236,0.35
21,the,96386,21.61,109,260,0.33
22,as,7972,1.79,9,246,0.33
23,this,7323,1.64,8,246,0.28
24,from,7200,1.61,7,248,0.12
25,and,27060,6.07,26,259,0.10
26,it,11683,2.62,11,244,0.07
27,it,11683,2.62,11,244,0.07
28,be,10672,2.39,10,249,0.06
29,to,24038,5.39,21,257,-0.04
30,of,62502,14.02,49,259,-0.19
31,a,22107,4.96,17,260,-0.22
32,the,96386,21.61,74,260,-0.22
33,in,24302,5.45,14,258,-0.64
34,of,62502,14.02,35,259,-0.68
35,and,27060,6.07,13,259,-0.90
